code,site,values
AVS003M,Praia de Atalaia Velha – Em frente aos Arcos da Orla – Aju,"33,4,5,92,7"
AVS005M,Praia do Banho Doce – Em frente ao Chafariz – Aju,"6,6,11,14,4"
AVS007M,Praia do Bonanza – Em frente ao Hotel Parque dos Coqueiros – Aju.,"11,2,6,72,13"
AVS008M,Praia do Hawaizinho - Em frente a Praça de Eventos da Orla – Aju,"3,6,6,102,6"
AVS009M,Praia de Aruana – Em frente ao Loteamento Aruana – Aju.,"10,51,43,19,24"
AVS010M,Praia do Robalo – Em frente ao Clube do Banco do Brasil AABB – Aju,"4,4,42,10,53"
AVS011M,Praia de Atalaia Nova – Em frente ao Farol da Barra – Barra dos Coqueiros - SE,"12,81,1,11,42"
AVS012M,Praia dos Náufragos – Em frente ao Condomínio Residencial Brisa – Aju.,"3,4,2,48,3"
S01024R,Praia dos Artistas – Coroa do Meio em frente ao Novo Farol – Aju,"59,26,45,400,15"
S01047R,Coqueiros . * Todas Próprias Administração Estadual do Meio Ambiente - ADEMA Gerência de Avaliação e Monitoramento Ambiental - GEAMA Balneabilidade das Praias do Litoral Sul (Município de Estância e Itaporanga D’Ajuda). Data da Coleta Coleta Localização dos Pontos de Coleta,"0,3,1,2,5"
